label,description
Psoriasis,"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night  sleep. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"For the past few weeks, I have had a skin rash on my arms, legs, and chest.  it is red and irritating, with dry, scaly spots. I have a strange pain in my joints too. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I am having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I have observed little dents in my nails. There is a noticeable inflammation in my nails. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My nails are starting to have small pits on them. I am worried and dont know what is causing it. Also, my joints pain and there are rashes on my arms and back. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I have had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows.  Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"My joints are experiencing an unusual discomfort. Additionally, I have experienced weird skin peeling in various places on my body. I am concerned that something is wrong with my body.  Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Psoriasis,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in extreme pain . My knees and elbows' skin are starting to peel off. Symptoms  skin rash, skin peeling, silver-like dusting on skin."
Varicose Veins,"I have a rash on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also, I have been feeling very tired and fatigued in the past couple of days. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"My calves have been cramping up when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"There is bruising on my legs that I cannot explain. I can see strange blood vessels below the skin. Also, I am slightly obese and I am really worried. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I am overweight and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins on my calves have become very prominent and causing discomfort. I cant stand for long periods of time, as it causes pain in my legs, similar to cramps. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The skin around the veins on my legs is red and inflamed. I believe I can see some of the swollen blood vessels. I am really worried about it. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"Standing or walking for long periods of time causes a lot of pain in my legs. I get cramps upon doing physical activities. There are bruise marks on my legs too. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The cramps in my calves are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity is the reason behind this. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The swelling in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins in my legs are causing discomfort and difficulty sleeping at night. I have no idea why it is happening. I get cramps when I sprint. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The swelling in my legs is causing me to have difficulty fitting into my shoes. I cant sprint or stand for long periods of time. I can see some swollen blood vessels. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I have noticed cramps in my calves are becoming more frequent and intense. It is causing me a lot of discomforts. I am also overweight and my legs have started to swell. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins on my legs cause a lot of discomforts when I sit for long periods of time. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The rash on my legs is spreading and becoming more severe. It has become very difficult for me to run. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"My legs are causing a lot of discomforts when I exercise. I get frequent cramps and the blood vessels have become quite noticeable. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The prominent blood vessels on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The skin around the veins on my legs is dry and flaky. It seems there is a major bruise and my legs have started to swell. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I have noticed that there are bruises on my legs that I cannot explain. They are not painful but are concerning to me. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"As I am overweight, I have noticed that my legs are swollen and the blood vessels are more visible than usual. The swelling seems to be getting worse over time. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins on my calves are very prominent and are causing me a lot of discomforts. They are swollen and protrude from my skin. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The skin around the veins on my legs is red, inflamed, and itchy. It is causing a lot of discomforts and I am starting to get regular cramps. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins on my legs are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The pain in my calves is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and cant run for longer periods of time. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins in my legs are causing discomfort and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when I sit for long periods of time. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins on my legs are causing a lot of discomforts when I sit for long periods of time. They are swollen and protruding from my skin, making them painful and noticeable. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The rash on my legs is spreading and becoming more severe. It is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"My legs have been causing a lot of discomforts when I exercise. They feel heavy and swollen, and the veins are prominent and painful. I feel fatigued all the time. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The skin around the veins on my legs is dry and flaky, causing discomfort and irritation. I am also starting to get frequent cramps. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"My veins of legs have become more visible and swollen than normal. They are visible through my skin and it hurts when I move. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"Walking is tough for me because of cramps in my calves. Obesity, I believe, is the cause of this. After a while of working, I am exhausted. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The blood vessels on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"My legs swelling has become worse over the last couple of days. I can see the blood vessels protruding out of the skin. This is quite unusual. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"Long durations of standing or walking have caused severe discomfort in my legs.  it is a burning ache that gets worse the longer I am on my feet. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"My legs skin around the veins is unusual. There appears to be a large bruise. Nowadays, I get frequent cramps when I sprint or run. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"I am experiencing too many cramps in the last couple of days. I think something is not right. I believe there is a small bruise on my calves, but I am not sure about it. Symptoms  prominent veins, pain in legs, rash on legs."
Varicose Veins,"The veins in my calves are protruding out quite unusually. I am worried about it. Also, I am overweight and I believe this is the reason behind all of this. Symptoms  prominent veins, pain in legs, rash on legs."
Typhoid,"I have constipation and belly pain, and  it is been really uncomfortable. The belly pain has been getting worse and is starting to affect my daily life. Moreover, I get chills every night, followed by a mild fever. Symptoms  constipation, belly pain, fever, headache, chills."
